"id";"name";"link";"created_at";"updated_at"
65;"angucomplete-alt";"https://cdnjs.cloudflare.com/ajax/libs/angucomplete-alt/3.0.0/angucomplete-alt.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
66;"angular-audio";"https://cdnjs.cloudflare.com/ajax/libs/angular-audio/1.7.4/angular.audio.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
67;"angular-auth0";"https://cdnjs.cloudflare.com/ajax/libs/angular-auth0/3.0.1/angular-auth0.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
68;"angular-autofields";"https://cdnjs.cloudflare.com/ajax/libs/angular-autofields/2.2.5/autofields.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
69;"angular-azure-mobile-service";"https://cdnjs.cloudflare.com/ajax/libs/angular-azure-mobile-service/1.3.11/angular-azure-mobile-service.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
70;"angular-bacon";"https://cdnjs.cloudflare.com/ajax/libs/angular-bacon/2.0.1/angular-bacon.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
71;"angular-base64";"https://cdnjs.cloudflare.com/ajax/libs/angular-base64/2.0.5/angular-base64.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
72;"angular-bindonce";"https://cdnjs.cloudflare.com/ajax/libs/angular-bindonce/0.3.3/bindonce.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
73;"angular-block-ui";"https://cdnjs.cloudflare.com/ajax/libs/angular-block-ui/0.2.2/angular-block-ui.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
74;"angular-bootstrap-colorpicker";"https://cdnjs.cloudflare.com/ajax/libs/angular-bootstrap-colorpicker/3.0.32/js/bootstrap-colorpicker-module.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
75;"angular-bootstrap-datetimepicker";"https://cdnjs.cloudflare.com/ajax/libs/angular-bootstrap-datetimepicker/1.1.4/js/datetimepicker.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
76;"angular-bootstrap-lightbox";"https://cdnjs.cloudflare.com/ajax/libs/angular-bootstrap-lightbox/0.12.0/angular-bootstrap-lightbox.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
77;"angular-bootstrap-slider";"https://cdnjs.cloudflare.com/ajax/libs/angular-bootstrap-slider/0.1.28/slider.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
78;"angular-bootstrap-switch";"https://cdnjs.cloudflare.com/ajax/libs/angular-bootstrap-switch/0.5.2/angular-bootstrap-switch.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
79;"angular-br-filters";"https://cdnjs.cloudflare.com/ajax/libs/angular-br-filters/0.7.0/angular-br-filters.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
80;"angular-breadcrumb";"https://cdnjs.cloudflare.com/ajax/libs/angular-breadcrumb/0.5.0/angular-breadcrumb.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
81;"angular-busy";"https://cdnjs.cloudflare.com/ajax/libs/angular-busy/4.1.4/angular-busy.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
82;"angular-cache";"https://cdnjs.cloudflare.com/ajax/libs/angular-cache/4.6.0/angular-cache.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
83;"angular-cached-resource";"https://cdnjs.cloudflare.com/ajax/libs/angular-cached-resource/1.4.2/angular-cached-resource.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
84;"angular-carousel";"https://cdnjs.cloudflare.com/ajax/libs/angular-carousel/1.1.0/angular-carousel.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
85;"angular-chart.js";"https://cdnjs.cloudflare.com/ajax/libs/angular-chart.js/1.1.1/angular-chart.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
86;"angular-chartist.js";"https://cdnjs.cloudflare.com/ajax/libs/angular-chartist.js/4.3.4/angular-chartist.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
87;"angular-charts";"https://cdnjs.cloudflare.com/ajax/libs/angular-charts/0.2.7/angular-charts.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
88;"angular-chosen-localytics";"https://cdnjs.cloudflare.com/ajax/libs/angular-chosen-localytics/1.9.2/angular-chosen.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
89;"angular-ckeditor";"https://cdnjs.cloudflare.com/ajax/libs/angular-ckeditor/1.0.3/angular-ckeditor.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
90;"angular-clipboard";"https://cdnjs.cloudflare.com/ajax/libs/angular-clipboard/1.6.2/angular-clipboard.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
91;"angular-confirm";"https://cdnjs.cloudflare.com/ajax/libs/angular-confirm/1.2.6/angular-confirm.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
92;"angular-cookie";"https://cdnjs.cloudflare.com/ajax/libs/angular-cookie/4.1.0/angular-cookie.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
93;"angular-css-injector";"https://cdnjs.cloudflare.com/ajax/libs/angular-css-injector/1.4.0/angular-css-injector.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
94;"angular-css";"https://cdnjs.cloudflare.com/ajax/libs/angular-css/1.0.8/angular-css.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
95;"angular-data-table";"https://cdnjs.cloudflare.com/ajax/libs/angular-data-table/0.7.1/dataTable.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
96;"angular-data";"https://cdnjs.cloudflare.com/ajax/libs/angular-data/1.5.3/angular-data.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
97;"angular-datatables";"https://cdnjs.cloudflare.com/ajax/libs/angular-datatables/2.1.0/angular-datatables.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
98;"angular-debounce";"https://cdnjs.cloudflare.com/ajax/libs/angular-debounce/0.1.7/angular-debounce.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
99;"angular-deckgrid";"https://cdnjs.cloudflare.com/ajax/libs/angular-deckgrid/0.5.0/angular-deckgrid.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
100;"angular-dialog-service";"https://cdnjs.cloudflare.com/ajax/libs/angular-dialog-service/5.3.0/dialogs.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
